X.Intercept. RepR2 RepR3 RepR4 Leaf IWB74799
21.14393 -8.264189 -17.23728 -8.33008 -0.9151791 -31.31045
23.26494 -9.570267 -19.86359 -10.14055 -0.4301196 -31.12661
21.57486 -10.21188 -17.42649 -9.423798 -0.629719 -30.97224
21.3694 -8.519618 -16.14978 -9.896613 -1.687925 -29.53881
22.68393 -9.887142 -15.27074 -7.457862 -1.337619 -29.85552
25.21044 -11.62035 -16.35179 -7.037431 -0.7983451 -30.46555
24.55593 -10.26763 -18.56009 -6.919089 -0.6575477 -28.65695
26.50392 -12.4001 -18.21481 -9.324321 -1.287712 -29.14763
26.509 -10.59663 -15.06115 -10.75194 -2.221986 -27.29382
26.72486 -10.20807 -20.34211 -9.805483 -1.046521 -28.25888
28.01556 -9.365734 -21.60865 -10.19087 -1.322688 -28.19876
25.66924 -8.911387 -17.18202 -8.353817 -0.971694 -29.82324
24.42637 -11.15009 -16.2075 -5.281559 -1.027025 -30.76071
25.65728 -10.52874 -15.86208 -8.530035 -1.734766 -30.35637
27.02099 -10.00359 -17.45213 -8.388142 -1.503506 -28.9637
25.14946 -7.016246 -15.39075 -6.445031 -1.693352 -29.10844
26.26149 -8.869083 -18.77606 -8.598804 -1.526154 -29.01621
25.31381 -10.79602 -18.17365 -9.106457 -1.159009 -28.73964
26.41013 -9.472605 -17.89078 -9.262828 -0.8934155 -30.30198
24.8975 -10.54856 -19.15517 -7.914127 -0.8022039 -32.05173
22.86497 -8.132994 -18.40851 -11.10709 -0.5478209 -31.55588
21.5098 -8.311721 -16.48264 -7.520754 -0.524385 -34.40969
23.06046 -10.42325 -16.4307 -9.834104 -0.1172584 -33.88802
22.41891 -7.622004 -17.80036 -8.499919 -1.09078 -32.33613
23.07245 -10.61046 -19.55592 -8.502627 -0.2197915 -32.3513
23.56056 -11.45796 -18.8341 -9.905447 -0.7778204 -32.07582
24.04162 -9.167888 -16.24949 -11.30955 -1.497498 -31.39602
22.6719 -10.09284 -17.77751 -9.236991 -1.206474 -31.72695
22.01628 -9.806162 -16.31097 -7.960189 -1.013006 -32.38271
21.08963 -9.291473 -13.62905 -6.988662 -1.099328 -29.9527
20.28166 -9.304563 -15.95726 -7.614926 -0.8800896 -28.69737
21.04775 -13.09554 -17.14029 -8.838407 -0.6334053 -27.57443
19.25226 -9.198396 -18.06084 -4.405844 -1.033122 -26.71706
20.16211 -8.51553 -21.18682 -6.200247 -0.6770284 -26.42441
20.21208 -12.17811 -18.48246 -8.961853 0.393213 -27.9623
20.72463 -12.59962 -17.86091 -9.482682 0.3890084 -26.62234
21.66886 -12.35023 -18.24477 -6.582223 -0.8736981 -25.58221
22.31818 -12.14061 -14.45793 -9.725316 -0.9788979 -25.00186
21.2034 -8.980644 -16.08986 -5.963448 -1.8252 -23.89382
22.08138 -6.043892 -15.44254 -6.70757 -2.80801 -25.37016
23.4443 -10.03119 -18.08353 -6.656277 -1.380681 -26.10662
26.81766 -12.61139 -18.87447 -11.23714 -1.106477 -26.35142
26.91848 -11.24297 -19.87844 -10.26473 -0.1810548 -30.62719
26.55171 -11.10432 -15.93826 -8.296352 -0.834372 -31.4106
28.82694 -12.049 -18.21165 -9.481233 -0.8374198 -31.76533
28.86345 -12.11523 -21.6761 -11.69919 -0.7931002 -31.16863
26.98166 -10.84105 -19.39784 -8.363989 -1.108839 -32.55315
24.0462 -10.17786 -19.78219 -9.650484 -0.1752779 -31.52554
25.10007 -9.465732 -16.00793 -9.42715 -1.24252 -33.0615
25.3458 -8.382814 -19.5328 -10.15231 -0.8904931 -32.95882
23.77303 -6.281906 -15.84344 -5.656889 -1.866334 -32.59318
23.00814 -7.215234 -14.38743 -4.547449 -0.7857331 -33.76465
22.52834 -6.79257 -15.01219 -6.520793 -0.8647688 -32.33126
22.19482 -7.26491 -14.22332 -6.490186 -0.5627006 -32.10226
22.3763 -10.12231 -15.44197 -6.618232 0.2700828 -32.19378
23.54036 -9.966919 -15.52977 -8.466962 -0.3253003 -31.1253
21.94478 -9.607631 -16.6236 -8.76068 0.5896944 -29.89013
